Species,Topt,mE,ToptK
Aerobacter aerogenes,37,12.2,310.15
Clostridium butyricum,35,15.6,308.15
Acetogenium kivui,60,20.6,333.15
Zymomonas mobilis,35,9.8,308.15
Saccharomyces cerevisiae,30,3.65,303.15
Bacillus polymyxa,30,5.8,303.15
Bacteroides amylophilus,39,14.7,312.15
Microbacterium thermosphactum,25,2.1,298.15
Campylobacter sp.,30,2.7,303.15
Desulfovibrio vulgaris,35,8.5,308.15
Methanobacterium thermoautotrophicum,38,8.9,311.15
Methanobacterium formicicum,65,115.0,338.15
Methanococcus thermolithotrophicus,65,129.0,338.15
Klebsiella aerogenes,36,8.94,309.15
